,Date,Project,Method,OD260/280,OD260/230,Concentration,Yield(ug)
10,2022-03-14,RTB-CNS,Chemagen,1.9,1.52,125.55,18.8325
11,2022-03-03,RTB-CNS,Chemagen,2.03,2.2,63.74,9.561
12,2022-03-25,RTB-CNS,Chemagen,2.15,2.77,68.17,10.2255
13,2022-03-14,RTB-CNS,Chemagen,1.95,2.18,95.33,14.2995
14,2022-03-21,RTB-CNS,Chemagen,2.03,2.23,126.72,19.008
15,2022-03-07,RTB-CNS,Chemagen,1.95,2.04,115.18,17.277
16,2022-03-21,RTB-CNS,Chemagen,1.94,1.53,96.61,14.4915
17,2022-03-07,RTB-CNS,Chemagen,1.94,2.3,115.24,17.286
18,2022-03-14,RTB-CNS,Chemagen,1.97,2.25,70.75,10.6125
19,2022-03-21,RTB-CNS,Chemagen,1.8,1.37,66.44,9.966
20,2022-03-17,RTB-CNS,Chemagen,2.1,2.6,51.92,7.788
21,2022-03-10,RTB-CNS,Chemagen,1.9,2.2,88.43,13.264500000000002
22,2022-03-25,RTB-CNS,Chemagen,2.0,1.63,94.65,14.1975
23,2022-03-21,RTB-CNS,Chemagen,1.88,2.13,74.12,11.118
24,2022-03-22,RTB-CNS,Chemagen,1.96,2.49,88.54,13.281000000000002
25,2022-03-28,RTB-CNS,Chemagen,2.04,2.4,85.55,12.8325
26,2022-03-24,RTB-CNS,Chemagen,1.9,2.03,77.93,11.689500000000002
27,2022-03-07,RTB-CNS,Chemagen,1.91,2.34,312.83,46.9245
28,2022-03-07,RTB-CNS,Chemagen,2.03,2.29,104.48,15.672
29,2022-03-17,RTB-CNS,Chemagen,2.01,2.44,113.22,16.983
30,2022-03-21,RTB-CNS,Chemagen,1.97,2.16,66.22,9.933
31,2022-03-07,RTB-CNS,Chemagen,1.97,2.24,136.66,20.499
32,2022-03-07,RTB-CNS,Chemagen,2.03,2.3,57.41,8.6115
33,2022-03-03,RTB-CNS,Chemagen,1.98,2.31,102.92,15.438
34,2022-03-30,RTB-CNS,Chemagen,1.93,2.28,162.8,24.42
35,2022-03-28,RTB-CNS,Chemagen,2.0,2.46,128.92,19.338
36,2022-03-21,RTB-CNS,Chemagen,2.01,1.84,48.05,7.2075
37,2022-03-14,RTB-CNS,Chemagen,2.01,2.18,58.35,8.7525
38,2022-03-14,RTB-CNS,Chemagen,1.95,2.2,98.22,14.733
39,2022-03-30,RTB-CNS,Chemagen,1.98,2.2,103.27,15.4905
40,2022-03-07,RTB-CNS,Chemagen,1.94,2.27,135.99,20.3985
41,2022-03-03,RTB-CNS,Chemagen,2.01,2.42,66.91,10.0365
42,2022-03-10,RTB-CNS,Chemagen,2.01,2.37,109.27,16.3905
43,2022-03-07,RTB-CNS,Chemagen,1.92,2.34,108.03,16.2045
44,2022-03-10,RTB-CNS,Chemagen,1.91,2.31,84.59,12.6885
